previous_operator_utterance,operator_utterance,negative_utterance
オペレーター: 市街地が、一望できるみたいになってる。,オペレーター: 何よりも、園内は自由で、料金かからないっていうのが。,カスタマー: ンフフ。じゃあちょっとお散歩。
オペレーター: で、目の前の厚さ6センチの鉄板で焼き上げられる、ダイナミックな、ところも、堪能できますので、大変おすすめなお店だと思います。,オペレーター: あはは。,カスタマー: 1点お聞きしてもよろしいですか？
オペレーター: なにか、見てみたいですとかー、行ってみたい場所とか、ございますか？,オペレーター: そうですか。,カスタマー: あんまり観光地がよくわからないんですけど。
オペレーター: 本日はご利用いただきましてありがとうございます。,オペレーター: どういったご旅行をご希望ですか？,カスタマー: が好きで、写真をよく見たりしてるんですけども。
オペレーター: で、夜行っても、昼行っても、いいんじゃないかなーという、,オペレーター: そうですね。,カスタマー: 候補に、入れたいですね。
オペレーター: なるほど。,オペレーター: 逆に入ってた方が、自然ぽくていいですよね、そしたら。,カスタマー: ど、どういうところかわかんないですが、その海辺、テトラポットのそばに温泉がただあって、そこに無料で入れるっていうんだったら、人間も動物も一緒かなと思っただけなんですけど。
オペレーター: 11時半から夜の9時まで開いておりますので、,オペレーター: さっきのぽんぽこ亭の後でのお召し上がりになっても良いかと思います。,カスタマー: そうですね。えっと一点確認していただきたいんですけども、
オペレーター: 仙台の方で、何か観てみたいですとかー。,オペレーター: ご要望はございますか?,カスタマー: 都会出るって、仙台に出るってイメージなんだって。
オペレーター: そうですよね、少々お待ちくださいね。,オペレーター: お客様、お待たせいたしました。,カスタマー: とんでもないです、
オペレーター: 休憩もとることができますのでー、大変、おすすめしたいんですけれども。,オペレーター: 是非、こちらをお勧めしたいですね、,カスタマー: もしちょっと差し支えなければー、一点お伺いしたいんですけど
オペレーター: 例えば高層階のー、,オペレーター: スパでー、外の景色、を眺めながらー、ゆっくりできるんですけど、和風…,カスタマー: 東京にも…ある感じなんでー。
オペレーター: <>だけじゃ、つまらないですもんね、せっかくでしたら<>色んな所見て、周ったら楽しいんじゃないかなって思われますね。,オペレーター: お寺とかも色々あるんですけど、ご興味ありますか？,カスタマー: そんなにはあんまり。
