one_previous_utterance,previous_operator_utterance,current_utterance
カスタマー: あ、はい、ちょっとお願いします。,オペレーター: はい、ありがとうございます。,カスタマー: では、名前がですね、サンマリン気仙沼ホテル観洋です。
カスタマー: はい。,オペレーター: ま、昭和な感じのラーメン屋さんみたいな感じ<>も。,カスタマー: ええ、ええ。
オペレーター: 川ですね。,オペレーター: ちょっとお待ちください。,カスタマー: はい。
オペレーター: あ、夜、紅葉であれば、あのー、まー、ご、お昼間の時間だと思いますので、ちょっとご心配はないと思うんですけれども,オペレーター: はい。,カスタマー: ええ、ええ。
カスタマー: うんうん。,オペレーター: あとはこう、温泉卵を作っている風景とかも見ることができます。,カスタマー: ふんふんふん、あいいですね、もうついでに温泉卵も食べて一休みできそうな感じが。
カスタマー: はい。,オペレーター: ほー。,カスタマー: 夜は1万円以上になっております。
カスタマー: はい。,オペレーター: はい。こち…。,カスタマー: 良さそうですね。
カスタマー: はい。,オペレーター: はい。,カスタマー: はい。お願いします。
オペレーター: こちらで載ってる、データで載ってる写真を見ると。,オペレーター: はい。,カスタマー: なんだろうな。
オペレーター: そうーですね。とりあえず一旦、まあ那覇市内というかんたちでー、調べてみますねー。,オペレーター: はい。,カスタマー: えと一応お昼はおそばを食べたんですけどやっぱ、また肉料理的なものとかがよろしいでしょうかー。
オペレーター: ええ、ええ、ええ。,オペレーター: はい。,カスタマー: あのー、ほら…んー、例えば草津温泉とか、なんとか温泉って、こう、こう名前、名前があったりするじゃないですか。
オペレーター: かしこまりました。,オペレーター: ていうか、その。,カスタマー: ええ。ん、はい。
オペレーター: えー、保よしさんという、あのー、和食料理のお店ですね。,オペレーター: 保よしさん。,カスタマー: はい。
カスタマー: うん。,オペレーター: はい。鹿児島県の、えー、鹿児島県で何したいとか、あ、えーと、ご予定の、えーと、人数などお伺いできますか。,カスタマー: あ、妻と2人で行きたいな。
カスタマー: あー。,オペレーター: えー。,カスタマー: ええー、まあそれは本島ですか？
カスタマー: うん。,オペレーター: こちらで過ごすことが、はい、できます。はい。,カスタマー: うん。あと何かお客さまのほうで、他に、あの、ご要望とかありますか？
カスタマー: はい。,オペレーター: こちら、あの、いっ、あの、観光客ではなくて一般の方も、あの、買われる、あの、普通の、あの、スーパーにはなってるんですけれども、はい。,カスタマー: はい。こちら、あのー、その、地元の人が買うような、あの、食べ物ですとか、はい。
オペレーター: 歩いてたりすると甘いものも食べてく、食べたくなるかと思うんですけれどもいかがでしょうか。,オペレーター: ばれました。そうですね。私もちょっと多分おそらくかまぼこ食べた後。,カスタマー: ええ、ええ。
